maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
87,11,uniform-collection,uniform,0.310220549869997,17559,32.53739,13239,1.712145,4.0
88,11,uniform-collection,uniform,0.315455760855391,17717,32.35436,13665,1.75387,4.0
89,11,uniform-collection,uniform,0.31574189716893,17231,32.88432,12889,1.775155,4.0
90,11,uniform-collection,uniform,0.314211254819652,16859,33.113865,12836,1.769775,4.0
91,11,uniform-collection,uniform,0.315545802037579,16415,33.32653,13058,1.802895,4.0
92,11,uniform-collection,uniform,0.314207515213557,16613,33.5936750000001,13624,1.805335,4.0
93,11,uniform-collection,uniform,0.316441024902201,16387,34.10704,14072,1.871455,4.0
94,11,uniform-collection,uniform,0.312253378630727,16235,34.258005,12856,1.797275,4.0
95,11,uniform-collection,uniform,0.318746089502095,16164,34.34727,13526,1.874415,4.0
96,11,uniform-collection,uniform,0.318518365465421,15822,33.921675,13344,1.846335,4.0
97,11,uniform-collection,uniform,0.316912776332282,15636,34.593425,13741,1.861675,4.0
98,11,uniform-collection,uniform,0.315737562697923,15491,34.819855,13671,1.928215,4.0
99,11,uniform-collection,uniform,0.322250601554712,15265,34.746785,14586,1.926425,4.0
100,11,uniform-collection,uniform,0.323543635255598,15291,35.303195,15013,1.94337,4.0
101,11,uniform-collection,uniform,0.318396150649041,15127,35.646565,13889,1.924245,4.0
102,11,uniform-collection,uniform,0.318416349045896,14812,36.31171,14545,1.969115,4.0
103,11,uniform-collection,uniform,0.319727813037243,14561,35.947115,13766,1.97156,4.0
104,11,uniform-collection,uniform,0.31549675012602,14509,36.593185,13369,1.931685,4.0
105,11,uniform-collection,uniform,0.321673030965735,14550,36.43389,14216,1.986835,4.0
106,11,uniform-collection,uniform,0.318520266264542,13679,37.03287,14181,1.962305,4.0
107,11,uniform-collection,uniform,0.320824014647099,13471,37.532755,14660,2.02021,4.0
108,11,uniform-collection,uniform,0.320058505109867,13423,37.313775,14865,2.00383,4.0
109,11,uniform-collection,uniform,0.319382913163534,13143,37.652145,15326,2.023565,4.0
110,11,uniform-collection,uniform,0.319097111909142,13386,38.176585,15095,2.041575,4.0
111,11,uniform-collection,uniform,0.324590236547797,12820,37.535945,14640,2.038845,4.0
112,11,uniform-collection,uniform,0.32012439069201,12599,38.503595,15877,2.049475,4.0
113,11,uniform-collection,uniform,0.323785209740748,12580,38.438735,14764,2.074845,4.0
114,11,uniform-collection,uniform,0.324739691992347,12352,38.33626,13978,2.08821,4.0
115,11,uniform-collection,uniform,0.323773528905888,12268,39.112035,16153,2.11312,4.0
116,11,uniform-collection,uniform,0.326957808689051,12383,39.40669,15828,2.14587,4.0
117,11,uniform-collection,uniform,0.328732504604529,12346,39.091045,15974,2.161165,4.0
118,11,uniform-collection,uniform,0.32664829893106,12089,39.096165,14942,2.14617,4.0
119,11,uniform-collection,uniform,0.323756206583825,12054,39.78962,15953,2.138565,4.0
120,11,uniform-collection,uniform,0.325884699052745,12092,39.692365,15472,2.171875,4.0
121,11,uniform-collection,uniform,0.32795548833776,12028,39.980765,15413,2.222025,4.0
122,11,uniform-collection,uniform,0.328328748574348,11896,40.2841,15373,2.233425,4.0
123,11,uniform-collection,uniform,0.329531206796297,11902,40.15661,15630,2.17964,4.0
124,11,uniform-collection,uniform,0.325170808772351,11656,40.839745,16229,2.242865,4.0
125,11,uniform-collection,uniform,0.329584329981757,11851,40.318335,16180,2.258315,4.0
126,11,uniform-collection,uniform,0.331839482979352,11798,40.920135,16132,2.265135,4.0
127,11,uniform-collection,uniform,0.331329265810152,11656,40.95369,16697,2.28817,4.0
128,11,uniform-collection,uniform,0.336124962548912,11561,40.84552,16800,2.32296,4.0
129,11,uniform-collection,uniform,0.334343198207853,11687,40.842125,16340,2.304905,4.0
130,11,uniform-collection,uniform,0.329137151742828,11521,42.325725,16401,2.301425,4.0
131,11,uniform-collection,uniform,0.336951429707507,11397,41.37305,15552,2.351455,4.0
132,11,uniform-collection,uniform,0.337410337154475,11257,41.631635,17373,2.360315,4.0
133,11,uniform-collection,uniform,0.332584321465762,11101,41.794385,16012,2.32167,4.0
134,11,uniform-collection,uniform,0.335917431961467,10698,42.03433,16869,2.347545,4.0
135,11,uniform-collection,uniform,0.332166902456858,10650,43.30371,17161,2.351545,4.0
136,11,uniform-collection,uniform,0.329816277148128,10459,43.480715,17536,2.32943,4.0
