[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
212,100,10,color-agents-by-decile,poorest,400,1000,0.224319040526629,0,12.896825,4535
213,100,20,color-agents-by-decile,poorest,400,1000,0.220066436262669,0,14.000675,7446
214,100,30,color-agents-by-decile,poorest,400,1000,0.207206204830732,0,15.5772,6211
215,100,40,color-agents-by-decile,poorest,400,1000,0.217917508458396,0,15.969075,7387
216,100,50,color-agents-by-decile,poorest,400,1000,0.214691913885551,0,16.63475,6062
217,100,60,color-agents-by-decile,poorest,400,1000,0.209662197569197,0,17.978175,6592
218,100,70,color-agents-by-decile,poorest,400,1000,0.2162001385591,0,18.6266,5611
219,100,80,color-agents-by-decile,poorest,400,1000,0.208384411229354,0,20.0624,7119
220,100,90,color-agents-by-decile,poorest,400,1000,0.207762018743047,0,21.327,6351
221,100,100,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
222,100,110,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
223,100,120,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
224,100,130,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
225,100,140,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
226,100,150,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
227,100,160,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
228,100,170,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
229,100,180,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
230,100,190,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
231,100,200,color-agents-by-decile,poorest,400,0,0.208384411229354,0,20.0624,7119
232,110,0,color-agents-by-decile,poorest,400,1000,0.229997922241303,80,13.6015,5790
233,110,10,color-agents-by-decile,poorest,400,1000,0.232591088714097,0,13.450975,5229
234,110,20,color-agents-by-decile,poorest,400,1000,0.223498561686633,0,14.5429,6054
235,110,30,color-agents-by-decile,poorest,400,1000,0.217387453163993,0,15.913225,5932
236,110,40,color-agents-by-decile,poorest,400,1000,0.20964153563356,0,17.216525,7042
237,110,50,color-agents-by-decile,poorest,400,1000,0.217562340326605,0,17.7897,7899
238,110,60,color-agents-by-decile,poorest,400,1000,0.210079318421716,0,18.75015,7462
239,110,70,color-agents-by-decile,poorest,400,1000,0.211985623679316,0,19.9489,6911
240,110,80,color-agents-by-decile,poorest,400,1000,0.207101003972165,0,21.007,6992
241,110,90,color-agents-by-decile,poorest,400,1000,0.197028080987995,0,22.916525,8799
242,110,100,color-agents-by-decile,poorest,400,1000,0.191391849115625,0,24.45545,8312
243,110,110,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
244,110,120,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
245,110,130,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
246,110,140,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
247,110,150,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
248,110,160,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
249,110,170,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
250,110,180,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
251,110,190,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
252,110,200,color-agents-by-decile,poorest,400,0,0.207101003972165,0,21.007,6992
253,120,0,color-agents-by-decile,poorest,400,1000,0.225680333395878,76,14.4302,4772
254,120,10,color-agents-by-decile,poorest,400,1000,0.225314622453736,0,14.54595,6799
255,120,20,color-agents-by-decile,poorest,400,1000,0.227370596348851,0,15.1647,7739
256,120,30,color-agents-by-decile,poorest,400,1000,0.221358052589298,0,16.837975,6898
257,120,40,color-agents-by-decile,poorest,400,1000,0.204101309755299,0,18.77195,8852
258,120,50,color-agents-by-decile,poorest,400,1000,0.217246829009309,0,18.4557,9140
259,120,60,color-agents-by-decile,poorest,400,1000,0.207378068252864,0,20.189175,8883
260,120,70,color-agents-by-decile,poorest,400,1000,0.204976835235365,0,21.244025,8461
261,120,80,color-agents-by-decile,poorest,400,1000,0.206086752715341,0,22.50585,8358
262,120,90,color-agents-by-decile,poorest,400,1000,0.2045991979517,0,23.291475,9023
263,120,100,color-agents-by-decile,poorest,400,1000,0.201014712012671,0,24.10915,8255
264,120,110,color-agents-by-decile,poorest,400,1000,0.200887208742314,0,24.96105,9302
265,120,120,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
266,120,130,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
267,120,140,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
268,120,150,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
269,120,160,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
270,120,170,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
271,120,180,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
272,120,190,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
273,120,200,color-agents-by-decile,poorest,400,0,0.201014712012671,0,24.10915,8255
274,130,0,color-agents-by-decile,poorest,400,1000,0.214573377613802,61,16.0617,7218
275,130,10,color-agents-by-decile,poorest,400,1000,0.215917289746372,0,15.6636,6255
276,130,20,color-agents-by-decile,poorest,400,1000,0.2184994430739,0,16.83695,7827
277,130,30,color-agents-by-decile,poorest,400,1000,0.216730781129098,0,17.7835,8048
278,130,40,color-agents-by-decile,poorest,400,1000,0.214479284766701,0,18.674125,8684
279,130,50,color-agents-by-decile,poorest,400,1000,0.200580344584455,0,20.6557,8296
280,130,60,color-agents-by-decile,poorest,400,1000,0.213869450028279,0,20.508375,9254
