[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
275,130,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.248416878684059,0,72.9832,25416
276,130,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.268312888447202,0,71.623525,22601
277,130,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.250051610526917,0,76.338425,26395
278,130,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.27763021958037,0,75.715075,32985
279,130,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.290375023061913,0,83.119725,41424
280,130,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.31090058505631,0,101.6468,36288
281,130,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.241682094970397,0,91.1144,38615
282,130,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.256943093689449,0,102.02165,42282
283,130,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.230146697485055,0,104.82205,43424
284,130,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.227487601585485,0,113.712575,44656
285,130,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.247857320097724,0,116.470825,46163
286,130,120,color-agents-by-decile,linear-collection,poorest,400,1000,0.226095507154168,0,120.786125,48863
287,130,130,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
288,130,140,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
289,130,150,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
290,130,160,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
291,130,170,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
292,130,180,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
293,130,190,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
294,130,200,color-agents-by-decile,linear-collection,poorest,400,0,0.226095507154168,0,120.786125,48863
295,140,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.24166857231257,84,63.141275,23574
296,140,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.267224877860834,1,69.85815,24711
297,140,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.258348551396284,0,78.543975,29730
298,140,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.306532395461169,0,81.828225,37153
299,140,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.265513135162554,0,87.90035,38299
300,140,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.242525887953289,0,94.457125,39608
301,140,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.271470734774753,0,94.8735750000001,40054
302,140,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.215806383951413,0,103.67555,37111
303,140,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.225827157890769,0,103.565375,42103
304,140,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.239202016426398,0,107.96295,41348
305,140,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.221516185570994,0,125.33395,50413
306,140,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.243685000919238,0,118.97285,47085
307,140,120,color-agents-by-decile,linear-collection,poorest,400,1000,0.210119228692671,0,125.537275,48918
308,140,130,color-agents-by-decile,linear-collection,poorest,400,1000,0.239874800243931,0,130.27575,55675
309,140,140,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
310,140,150,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
311,140,160,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
312,140,170,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
313,140,180,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
314,140,190,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
315,140,200,color-agents-by-decile,linear-collection,poorest,400,0,0.243685000919238,0,118.97285,47085
316,150,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.247427310792349,89,69.64855,25394
317,150,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.279306439071231,0,75.717175,33832
318,150,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.241658623687804,0,84.468125,28675
319,150,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.231905452898708,0,84.05335,36436
320,150,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.269302642754397,0,92.839,39843
321,150,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.217835744055945,0,103.21505,42500
322,150,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.249764683073212,0,105.7369,44305
323,150,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.224321543632094,0,107.0983,42707
324,150,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.236504961034955,0,110.00985,44107
325,150,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.219126815162075,0,116.12025,48429
326,150,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.221364380898104,0,122.9509,52044
327,150,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.216623621137456,0,124.21225,50467
328,150,120,color-agents-by-decile,linear-collection,poorest,400,1000,0.214376559501292,0,133.13445,54204
329,150,130,color-agents-by-decile,linear-collection,poorest,400,1000,0.217018821182258,0,136.846,53216
330,150,140,color-agents-by-decile,linear-collection,poorest,400,1000,0.225430090275452,0,139.066625,57899
331,150,150,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
332,150,160,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
333,150,170,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
334,150,180,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
335,150,190,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
336,150,200,color-agents-by-decile,linear-collection,poorest,400,0,0.225430090275452,0,139.066625,57899
337,160,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.260804794541782,75,76.727125,30748
338,160,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.248797150358765,0,79.932125,31624
339,160,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.247378861250485,0,86.664,36810
340,160,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.230512160913251,0,91.957325,39272
341,160,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.23614389723042,0,96.8666500000001,34653
342,160,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.234761889321341,0,101.558075,39706
343,160,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.226362232989134,0,106.836525,43623
344,160,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.227782737855807,0,109.27775,44559
345,160,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.252246648709664,0,112.9212,42272
346,160,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.224397236327539,0,123.808425,50907
347,160,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.228258492706811,0,123.96645,52690
348,160,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.228216939895959,0,131.079475,54595
349,160,120,color-agents-by-decile,linear-collection,poorest,400,1000,0.212637455263832,0,134.01175,52605
350,160,130,color-agents-by-decile,linear-collection,poorest,400,1000,0.210326729644625,0,143.12665,55472
351,160,140,color-agents-by-decile,linear-collection,poorest,400,1000,0.213631344508456,0,146.338825,60465
352,160,150,color-agents-by-decile,linear-collection,poorest,400,1000,0.20667678834384,0,154.9369,62193
353,160,160,color-agents-by-decile,linear-collection,poorest,400,0,0.213631344508456,0,146.338825,60465
354,160,170,color-agents-by-decile,linear-collection,poorest,400,0,0.213631344508456,0,146.338825,60465
355,160,180,color-agents-by-decile,linear-collection,poorest,400,0,0.213631344508456,0,146.338825,60465
356,160,190,color-agents-by-decile,linear-collection,poorest,400,0,0.213631344508456,0,146.338825,60465
357,160,200,color-agents-by-decile,linear-collection,poorest,400,0,0.213631344508456,0,146.338825,60465
358,170,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.256118470280863,81,80.522125,32124
359,170,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.236764981352866,0,87.88855,36468
360,170,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.237560700141159,0,98.665375,42760
361,170,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.236394895835424,0,97.465825,38132
362,170,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.227961161514599,0,102.89925,40172
363,170,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.219591732505412,0,106.57725,43436
364,170,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.249479873062185,0,108.060575,38512
365,170,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.215657153609578,0,119.14785,48284
366,170,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.216875266450149,0,122.541375,50490
367,170,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.217880268215871,0,125.230025,52927
368,170,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.216887573458909,0,130.360025,54160
369,170,110,color-agents-by-decile,linear-collection,poorest,400,1000,0.216059095966433,0,138.1854,55293
370,170,120,color-agents-by-decile,linear-collection,poorest,400,1000,0.218984841398711,0,141.231925,50269
371,170,130,color-agents-by-decile,linear-collection,poorest,400,1000,0.224575668156719,0,145.235125,58462
372,170,140,color-agents-by-decile,linear-collection,poorest,400,1000,0.216395514327106,0,153.6139,59426
373,170,150,color-agents-by-decile,linear-collection,poorest,400,1000,0.209394259893176,0,156.65715,57189
